date,year,quarter,month,month_name,week,day_of_week,is_weekend,fiscal_year,fiscal_quarter
2024-01-01,2024,Q1,1,January,1,Monday,0,FY2024,FQ1
2024-01-15,2024,Q1,1,January,3,Monday,0,FY2024,FQ1
2024-02-01,2024,Q1,2,February,5,Thursday,0,FY2024,FQ1
2024-02-15,2024,Q1,2,February,7,Thursday,0,FY2024,FQ1
2024-03-01,2024,Q1,3,March,9,Friday,0,FY2024,FQ1
2024-03-15,2024,Q1,3,March,11,Friday,0,FY2024,FQ1
2024-04-01,2024,Q2,4,April,14,Monday,0,FY2024,FQ2
2024-04-15,2024,Q2,4,April,16,Monday,0,FY2024,FQ2
2024-05-01,2024,Q2,5,May,18,Wednesday,0,FY2024,FQ2
2024-05-15,2024,Q2,5,May,20,Wednesday,0,FY2024,FQ2
2024-06-01,2024,Q2,6,June,22,Saturday,1,FY2024,FQ2
2024-06-15,2024,Q2,6,June,24,Saturday,1,FY2024,FQ2
2024-07-01,2024,Q3,7,July,27,Monday,0,FY2024,FQ3
2024-07-15,2024,Q3,7,July,29,Monday,0,FY2024,FQ3
2024-08-01,2024,Q3,8,August,31,Thursday,0,FY2024,FQ3
2024-08-15,2024,Q3,8,August,33,Thursday,0,FY2024,FQ3
2024-09-01,2024,Q3,9,September,35,Sunday,1,FY2024,FQ3
2024-09-15,2024,Q3,9,September,37,Sunday,1,FY2024,FQ3
2024-10-01,2024,Q4,10,October,40,Tuesday,0,FY2024,FQ4
2024-10-15,2024,Q4,10,October,42,Tuesday,0,FY2024,FQ4
2024-11-01,2024,Q4,11,November,44,Friday,0,FY2024,FQ4
2024-11-15,2024,Q4,11,November,46,Friday,0,FY2024,FQ4
2024-11-29,2024,Q4,11,November,48,Friday,0,FY2024,FQ4
2024-12-01,2024,Q4,12,December,48,Sunday,1,FY2024,FQ4
2024-12-15,2024,Q4,12,December,50,Sunday,1,FY2024,FQ4

